"run_id";"user_input";"route";"answer";"status";"error";"details";"duration_seconds";"prompt_tokens";"completion_tokens";"total_tokens";"token_details";"json_path";"domain";"planning_mode";"workflow";"confidence";"safe_to_execute";"num_steps";"steps";"planner_reasoning";"resolved_object";"resolved_object_confidence";"selected_attributes";"attribute_confidence";"num_tool_calls";"executed_tools";"failed_tool";"equipment_resolution_mode";"attribute_resolution_mode";"comparison_resolution_mode"
"11";"Erhöhe Last B um 3 MW. Wie ist die Auslastung von Line 4-5?";"HISTORICAL";"Die Auslastung von Line 4-5 konnte nicht ermittelt werden, da für die Basisattribute keine lesbaren Werte gefunden wurden. Fehlercode: no_resolved_base_values_found.";"error";"no_resolved_base_values_found";"";"555.443";"21004";"1992";"22996";"{""llama3.1:8b"": {""input_tokens"": 21004, ""total_tokens"": 22996, ""output_tokens"": 1992}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\011_router_result.json";"HISTORICAL";"";"";"";"";"0";"";"";"<omitted:str>";"";"";"";"6";"scan_snapshot_inventory | resolve_cim_object | resolve_cim_comparison | load_snapshot_cache | query_cim | read_cim_base_values";"read_cim_base_values";"";"preselected_attributes";"semantic_llm_match"
"12";"Erhöhe Last B um 3 MW und gib die Auslastung der Leitung 4-5 aus.";"POWERFACTORY";"Die Auslastung der Leitung 4-5 beträgt +0,1111 %. Die Last B wurde um 3 MW erhöht.";"ok";"";"";"13.761";"7489";"1078";"8567";"{""llama3.1:8b"": {""input_tokens"": 7489, ""total_tokens"": 8567, ""output_tokens"": 1078}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\012_router_result.json";"POWERFACTORY";"";"";"high";"True";"4";"interpret_instruction | resolve_load | execute_change_load | summarize_powerfactory_result";"The request asks to increase the load by 3 MW, which is a clear change operation. Additionally, it requests the loading of line 4-5, which can be achieved through a topology query.";"<omitted:str>";"";"";"";"4";"interpret_instruction | resolve_load | execute_change_load | summarize_powerfactory_result";"";"";"";""
"13";"Last B 3 MW rauf, danach bitte die Belastung von Line 4-5.";"HISTORICAL";"Die Belastung von Line 4-5 konnte nicht ermittelt werden, da für die Basisattribute keine lesbaren Werte gefunden wurden. (Error: no_resolved_base_values_found)";"error";"no_resolved_base_values_found";"";"57.933";"15772";"1652";"17424";"{""llama3.1:8b"": {""input_tokens"": 15772, ""total_tokens"": 17424, ""output_tokens"": 1652}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\013_router_result.json";"HISTORICAL";"";"";"";"";"0";"";"";"<omitted:str>";"";"";"";"11";"scan_snapshot_inventory | resolve_cim_object | load_snapshot_cache | query_cim | summarize_cim_result | scan_snapshot_inventory | resolve_cim_object | resolve_cim_comparison | load_snapshot_cache | query_cim | read_cim_base_values";"read_cim_base_values";"";"preselected_attributes";"semantic_llm_match"
"14";"Reduziere Last A um 2 MW und gib danach die Auslastungen aller Leitungen zurück.";"POWERFACTORY";"Line loadings have been calculated for 6 lines before and after the reduction in power flow (-2MW) on line Last A, as well as their differences. The largest changes in line loading are: - Line 4-5: -0.4537% - Line 4-6: -0.0758% - Line 6-9: -0.0667% - Line 8-9: -0.0635% - Line 5-7: -0.0604%";"ok";"";"";"11.448";"6970";"859";"7829";"{""llama3.1:8b"": {""input_tokens"": 6970, ""total_tokens"": 7829, ""output_tokens"": 859}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\014_router_result.json";"POWERFACTORY";"";"";"high";"True";"4";"interpret_instruction | resolve_load | execute_change_load | summarize_powerfactory_result";"The request clearly fits the definition of change_load, as it involves modifying a load value and requesting result metrics after the load change.";"<omitted:str>";"";"";"";"4";"interpret_instruction | resolve_load | execute_change_load | summarize_powerfactory_result";"";"";"";""
"15";"Senke Last A um 2 MW. Wie hoch sind anschließend die Leitungsauslastungen?";"HISTORICAL";"Die Auswertung ist fehlgeschlagen. Fehlergrund: no_resolved_base_values_found.";"error";"no_resolved_base_values_found";"";"219.845";"11550";"1534";"13084";"{""llama3.1:8b"": {""input_tokens"": 11550, ""total_tokens"": 13084, ""output_tokens"": 1534}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\015_router_result.json";"HISTORICAL";"";"";"";"";"0";"";"";"<omitted:str>";"";"";"";"6";"scan_snapshot_inventory | resolve_cim_object | resolve_cim_comparison | load_snapshot_cache | query_cim | read_cim_base_values";"read_cim_base_values";"";"preselected_attributes";"semantic_llm_match"
"16";"Last A minus 2 MW; bitte danach alle Leitungsbelastungen ausgeben.";"HISTORICAL";"The CIM tool execution failed due to a tool execution failure.";"error";"tool_execution_failed";"";"69.981";"6658";"802";"7460";"{""llama3.1:8b"": {""input_tokens"": 6658, ""total_tokens"": 7460, ""output_tokens"": 802}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\016_router_result.json";"HISTORICAL";"";"";"";"";"0";"";"";"<omitted:str>";"";"";"";"2";"scan_snapshot_inventory | resolve_cim_object";"resolve_cim_object";"";"";""
"17";"Öffne den Schalter Schalter 1.";"HISTORICAL";"Der Schalter ""Schalter 1"" kann nicht geöffnet werden. Die Anfrage wird von der CIM-Seite bearbeitet, ist jedoch zurzeit nicht verfügbar.";"error";"unsupported_cim_request";"";"8.678";"3624";"360";"3984";"{""llama3.1:8b"": {""output_tokens"": 360, ""input_tokens"": 3624, ""total_tokens"": 3984}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\017_router_result.json";"HISTORICAL";"";"";"low";"False";"0";"";"Die Anfrage beinhaltet eine direkte Aktion auf ein physisches Gerät, was nicht unterstützt wird.";"";"";"";"";"1";"unsupported_request";"unsupported_request";"";"";""
"18";"Schalte Schalter 1 aus.";"HISTORICAL";"Die Anfrage konnte nicht bearbeitet werden, da sie zur CIM-Seite geroutet wurde und noch nicht sicher oder unterstützt ausführbar ist. Fehlender Kontext: physisches Gerät, Schalter. (Fehlercode: unsupported_cim_request)";"error";"unsupported_cim_request";"";"4.725";"3634";"330";"3964";"{""llama3.1:8b"": {""output_tokens"": 330, ""input_tokens"": 3634, ""total_tokens"": 3964}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\018_router_result.json";"HISTORICAL";"";"";"low";"False";"0";"";"Die Anfrage bezieht sich auf ein physisches Gerät und nicht auf CIM-Daten.";"";"";"";"";"1";"unsupported_request";"unsupported_request";"";"";""
"19";"Trenne Switch 1.";"HISTORICAL";"Ich habe 19 Objekte vom Typ ""ConformLoad"" gefunden: Load 03, Load 04, Load 07, Load 08, Load 12, Load 15, Load 16, Load 18, Load 20, Load 21, Load 23, Load 24, Load 25, Load 26, Load 27, Load 28, Load 29, Load 31, Load 39.";"ok";"";"";"775.869";"7869";"1221";"9090";"{""llama3.1:8b"": {""output_tokens"": 1221, ""input_tokens"": 7869, ""total_tokens"": 9090}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\019_router_result.json";"HISTORICAL";"";"";"high";"True";"2";"scan_snapshot_inventory | list_equipment_of_type";"The user is asking for a list of switches, which is a standard listing request.";"";"";"";"";"2";"scan_snapshot_inventory | list_equipment_of_type";"";"type_only_query";"";""
"20";"Schließe den Schalter Schalter 1.";"POWERFACTORY";"Die Schalteroperation 'close' wurde erfolgreich für 'Switch 1' (StaSwitch) ausgeführt. Der Zustand blieb jedoch bei 'closed'. Ein Lastfluss wurde berechnet.";"ok";"";"";"16.58";"5952";"697";"6649";"{""llama3.1:8b"": {""output_tokens"": 697, ""input_tokens"": 5952, ""total_tokens"": 6649}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\020_router_result.json";"POWERFACTORY";"";"";"high";"True";"5";"interpret_switch_instruction | build_unified_inventory | resolve_objects_from_inventory_llm | execute_switch_operation | summarize_switch_result";"The user requests to close a switch, which matches the definition of change_switch_state.";"Switch 1";"";"";"";"5";"interpret_switch_instruction | build_unified_inventory | resolve_objects_from_inventory_llm | execute_switch_operation | summarize_switch_result";"";"";"";""
"21";"Schalte Schalter 1 ein.";"HISTORICAL";"Die Anfrage konnte nicht bearbeitet werden. Die CIM-Seite unterstützt diese Funktion noch nicht.";"error";"unsupported_cim_request";"";"5.165";"3602";"377";"3979";"{""llama3.1:8b"": {""output_tokens"": 377, ""input_tokens"": 3602, ""total_tokens"": 3979}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\021_router_result.json";"HISTORICAL";"";"";"low";"False";"0";"";"Die Aktion ist nicht CIM-basiert und kann daher nicht ausgeführt werden.";"";"";"";"";"1";"unsupported_request";"unsupported_request";"";"";""
"22";"Zuschalten: Switch 1.";"HISTORICAL";"Die Anfrage wurde abgelehnt. Die Route ""historical"" unterstützt die Ausführung von CIM-Anfragen nicht.";"error";"unsupported_cim_request";"";"9.13";"3613";"828";"4441";"{""llama3.1:8b"": {""output_tokens"": 828, ""input_tokens"": 3613, ""total_tokens"": 4441}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\022_router_result.json";"HISTORICAL";"";"";"low";"True";"0";"";"Unsupported CIM request. User has provided a specific request, but there may be risks involved due to the unsupported nature of the request.";"";"";"";"";"1";"unsupported_request";"unsupported_request";"";"";""
"23";"Schalte den Schalter Schalter 1 um.";"HISTORICAL";"Die Anfrage konnte nicht bearbeitet werden, da sie für die historische Route nicht unterstützt ist. Fehlergrund: unsupported_cim_request.";"error";"unsupported_cim_request";"";"6.956";"3656";"583";"4239";"{""llama3.1:8b"": {""output_tokens"": 583, ""input_tokens"": 3656, ""total_tokens"": 4239}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\023_router_result.json";"HISTORICAL";"";"";"low";"False";"0";"";"Die Anfrage beinhaltet eine direkte Aktion auf ein physisches Gerät, was nicht unterstützt wird.";"";"";"";"";"1";"unsupported_request";"unsupported_request";"";"";""
"24";"Toggle Schalter 1.";"HISTORICAL";"Keine lesbaren Werte für die Basisattribute gefunden. Fehlercode: no_resolved_base_values_found.";"error";"no_resolved_base_values_found";"";"11.722";"7242";"684";"7926";"{""llama3.1:8b"": {""output_tokens"": 684, ""input_tokens"": 7242, ""total_tokens"": 7926}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\024_router_result.json";"HISTORICAL";"";"";"";"";"0";"";"";"";"";"";"";"3";"scan_snapshot_inventory | resolve_cim_object | read_cim_base_values";"read_cim_base_values";"";"preselected_attributes";""
"25";"Welche direkten Nachbarn hat Last A in Powerfactory?";"HISTORICAL";"Die direkten Nachbarn von Last A (Load 03) sind Bus 03, Line 02 - 03, Line 03 - 04 und Line 03 - 18.";"ok";"";"";"11.654";"8678";"723";"9401";"{""llama3.1:8b"": {""output_tokens"": 723, ""input_tokens"": 8678, ""total_tokens"": 9401}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\025_router_result.json";"HISTORICAL";"";"";"high";"True";"4";"scan_snapshot_inventory | resolve_cim_object | query_cim | summarize_cim_result";"The request asks for direct neighbors of a specific asset (Last A) in Powerfactory, which matches the semantics of a topology query.";"";"";"";"";"4";"scan_snapshot_inventory | resolve_cim_object | query_cim | summarize_cim_result";"";"";"";""
"26";"Wer ist in PF direkt mit Load A verbunden?";"HISTORICAL";"Load 07 und Bus 12 sind in PF direkt mit Load A verbunden.";"ok";"";"";"307.3";"20317";"1762";"22079";"{""llama3.1:8b"": {""output_tokens"": 1762, ""input_tokens"": 20317, ""total_tokens"": 22079}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\026_router_result.json";"HISTORICAL";"";"";"high";"True";"8";"scan_snapshot_inventory | resolve_cim_object | query_cim | summarize_cim_result | scan_snapshot_inventory | resolve_cim_object | query_cim | summarize_cim_result";"The user is asking for direct connections between Load A and other objects in PowerFactory.";"";"";"";"";"8";"scan_snapshot_inventory | resolve_cim_object | query_cim | summarize_cim_result | scan_snapshot_inventory | resolve_cim_object | query_cim | summarize_cim_result";"";"";"";""
"27";"Zeig mir die unmittelbaren Nachbarn von Verbraucher A in Powerfactory.";"POWERFACTORY";"Die verfügbaren Lasten im aktiven PowerFactory-Projekt sind: Load A, Load B, Load C.";"ok";"";"";"5.151";"4917";"309";"5226";"{""llama3.1:8b"": {""output_tokens"": 309, ""input_tokens"": 4917, ""total_tokens"": 5226}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\027_router_result.json";"POWERFACTORY";"";"";"high";"True";"2";"get_load_catalog | summarize_load_catalog";"The user request asks for a specific type of object in the PowerFactory catalog, which matches the definition of load_catalog intent.";"";"";"";"";"2";"get_load_catalog | summarize_load_catalog";"";"";"";""
"28";"An welche Assets grenzt Last A in Powerfactory direkt?";"POWERFACTORY";"Available loads in the active PowerFactory project: Load A, Load B, Load C.";"ok";"";"";"5.11";"4897";"306";"5203";"{""llama3.1:8b"": {""output_tokens"": 306, ""input_tokens"": 4897, ""total_tokens"": 5203}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\028_router_result.json";"POWERFACTORY";"";"";"high";"True";"2";"get_load_catalog | summarize_load_catalog";"The request is asking for a specific load in PowerFactory, which fits the definition of loading a catalog.";"";"";"";"";"2";"get_load_catalog | summarize_load_catalog";"";"";"";""
"29";"Welche direkten Nachbarn hat Bus 5 in PF?";"HISTORICAL";"Die direkten Nachbarn von Bus 5 in PF sind: Line 04 - 05 (ACLineSegment), Line 05 - 06 (ACLineSegment) und Line 05 - 08 (ACLineSegment). Es handelt sich um insgesamt 3 direkte topologische Nachbarn.";"ok";"";"";"11.16";"8155";"761";"8916";"{""llama3.1:8b"": {""output_tokens"": 761, ""input_tokens"": 8155, ""total_tokens"": 8916}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\029_router_result.json";"HISTORICAL";"";"";"high";"True";"4";"scan_snapshot_inventory | resolve_cim_object | query_cim | summarize_cim_result";"The request asks for the direct neighbors of a specific bus, which is a typical use case for topology queries.";"";"";"";"";"4";"scan_snapshot_inventory | resolve_cim_object | query_cim | summarize_cim_result";"";"";"";""
"30";"Was ist bei Powerfactory direkt mit Bus 5 verbunden?";"HISTORICAL";"Basierend auf der Topologie-Auswertung sind bei Bus 5 direkt verbunden: Line 04 - 05, Line 05 - 06 und Line 05 - 08. Alle sind AC-Line-Segmente.";"ok";"";"";"12.621";"8545";"867";"9412";"{""llama3.1:8b"": {""output_tokens"": 867, ""input_tokens"": 8545, ""total_tokens"": 9412}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\030_router_result.json";"HISTORICAL";"";"";"high";"True";"4";"scan_snapshot_inventory | resolve_cim_object | query_cim | summarize_cim_result";"The user's request is clear and specific, asking for direct connections between Powerfactory and Bus 5.";"";"";"";"";"4";"scan_snapshot_inventory | resolve_cim_object | query_cim | summarize_cim_result";"";"";"";""
"31";"Zeig mir die unmittelbaren Nachbarn von Bus 5 in Powerfactory.";"HISTORICAL";"Die unmittelbaren Nachbarn von Bus 5 in Powerfactory sind Line 04 - 05 (ACLineSegment), Line 05 - 06 (ACLineSegment) und Line 05 - 08 (ACLineSegment). Die maximale Leistung beträgt 330,715 MW und wurde am 09.01.2026 um 14:15 Uhr erreicht, während die minimale Leistung 245,683 MW betrug und am 09.01.2026 um 14:45 Uhr ermittelt wurde.";"ok";"";"";"282.231";"17411";"2002";"19413";"{""llama3.1:8b"": {""output_tokens"": 2002, ""input_tokens"": 17411, ""total_tokens"": 19413}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\031_router_result.json";"HISTORICAL";"";"";"high";"True";"9";"scan_snapshot_inventory | resolve_cim_object | query_cim | summarize_cim_result | scan_snapshot_inventory | resolve_cim_object | load_snapshot_cache | query_cim | summarize_cim_result";"The request is clear and specific, and it does not require any additional context or information.";"";"";"";"";"9";"scan_snapshot_inventory | resolve_cim_object | query_cim | summarize_cim_result | scan_snapshot_inventory | resolve_cim_object | load_snapshot_cache | query_cim | summarize_cim_result";"";"";"";""
"32";"Welche Assets hängen direkt an Bus 5 in Powerfactory?";"HISTORICAL";"Die Assets, die direkt an Bus 5 in Powerfactory hängen, sind:  Line 04 - 05 Line 05 - 06 Line 05 - 08";"ok";"";"";"10.51";"8566";"637";"9203";"{""llama3.1:8b"": {""output_tokens"": 637, ""input_tokens"": 8566, ""total_tokens"": 9203}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\032_router_result.json";"HISTORICAL";"";"";"high";"True";"4";"scan_snapshot_inventory | resolve_cim_object | query_cim | summarize_cim_result";"The request asks for direct connections to a specific bus, which is a typical use case for topology queries.";"";"";"";"";"4";"scan_snapshot_inventory | resolve_cim_object | query_cim | summarize_cim_result";"";"";"";""
"33";"Wie ist die Nennspannung von Bus 1 in PowerFactory?";"HISTORICAL";"Die Nennspannung von Bus 1 beträgt 362,25 kV.";"ok";"";"";"10.5";"7595";"614";"8209";"{""llama3.1:8b"": {""output_tokens"": 614, ""input_tokens"": 7595, ""total_tokens"": 8209}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\033_router_result.json";"HISTORICAL";"";"";"high";"True";"4";"scan_snapshot_inventory | resolve_cim_object | read_cim_base_values | summarize_cim_result";"The request is for a specific attribute value of a concrete equipment instance, which falls under the category of 'standard base'.";"";"";"";"";"4";"scan_snapshot_inventory | resolve_cim_object | read_cim_base_values | summarize_cim_result";"";"";"preselected_attributes";""
"34";"Gib mir die Basisdaten-Nennspannung von Bus 1 aus Powerfactory.";"POWERFACTORY";"Die Basisdaten-Nennspannung von Bus 1 beträgt 16,5 kV.";"ok";"";"";"31.508";"15118";"1353";"16471";"{""llama3.1:8b"": {""output_tokens"": 1353, ""input_tokens"": 15118, ""total_tokens"": 16471}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\034_router_result.json";"POWERFACTORY";"";"";"high";"True";"8";"build_unified_inventory | interpret_data_query_instruction | classify_data_source | resolve_objects_from_inventory_llm | list_available_object_attributes | select_pf_object_attributes_llm | read_pf_object_attributes | summarize_pf_object_data_result";"The request is asking for a specific technical attribute of a PowerFactory object, which falls under the query_element_data intent.";"Bus 1";"";"attr::uknom";"high";"8";"build_unified_inventory | interpret_data_query_instruction | classify_data_source | resolve_objects_from_inventory_llm | list_available_object_attributes | select_pf_object_attributes_llm | read_pf_object_attributes | summarize_pf_object_data_result";"";"";"";""
