entity_type;pf_class;object_name;full_name;attribute_name;attribute_label;attribute_description;data_origin;read_ok;display_value;raw_value_repr;numeric_value;unit;unit_source;value_type;queryability_filter;filter_reason
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;UcteNodeName;<built-in method title of str object at 0x000002D8DA7D4DB0>;Ucte-Knotenname;base_or_parameter;True;;'';; ;powerfactory;str;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;Vtarget;<built-in method title of str object at 0x000002D8DA799590>;Spannungsregelung: Spannungssollwert;base_or_parameter;True;16.5;16.5;16.5;kV;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;WorkDist;<built-in method title of str object at 0x000002D8DA7D4FF0>;Arbeitsabstand;base_or_parameter;True;0.0;0.0;0.0;mm;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;Xfactor;<built-in method title of str object at 0x000002D8DA7CDCA0>;Transmissionsfaktor;base_or_parameter;True;0.0;0.0;0.0; ;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;appr_modby;<built-in method title of str object at 0x000002D8DA72FB30>;Zustimmungsinformation: Verändert durch;base_or_parameter;True;;'';; ;powerfactory;str;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;appr_modif;<built-in method title of str object at 0x000002D8DA7D11B0>;Zustimmungsinformation: Verändert;base_or_parameter;True;0.0;0;0.0; ;powerfactory;int;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;appr_status;<built-in method title of str object at 0x000002D8DA7CDD40>;Zustimmungsinformation: Status;base_or_parameter;True;0.0;0;0.0; ;powerfactory;int;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;arcLength;<built-in method title of str object at 0x000002D8DA7994D0>;Lichtbogenlänge;base_or_parameter;True;0.0;0.0;0.0;mm;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cAccessTime;<built-in method title of str object at 0x000002D8DA75D390>;Zugangszeiten für Schalter: Erste manuelle Schalthandlung nach dem Fehler;base_or_parameter;True;0.0;0.0;0.0;min;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cBoxDepth;<built-in method title of str object at 0x000002D8DA7D5630>;Tiefe;base_or_parameter;True;0.0;0.0;0.0;mm;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cBoxHeight;<built-in method title of str object at 0x000002D8DA7CDD90>;Höhe;base_or_parameter;True;0.0;0.0;0.0;mm;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cBoxWidth;<built-in method title of str object at 0x000002D8DA7D5870>;Breite;base_or_parameter;True;0.0;0.0;0.0;mm;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cBoxed;<built-in method title of str object at 0x000002D8DA7D14C0>;Gehäuse:Freiluft:Gekapselt;base_or_parameter;True;0.0;0;0.0; ;powerfactory;int;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cCapShnt;<built-in method title of str object at 0x000002D8DA7CDDE0>;Shunt platziert von ComCapo;base_or_parameter;False;;;;ElmShnt;powerfactory;;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cCondGap;<built-in method title of str object at 0x000002D8DA7D5AF0>;Leiterabstand;base_or_parameter;True;0.0;0.0;0.0;mm;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cConsis;<built-in method title of str object at 0x000002D8DA799650>;Konsistenz, Status:Nicht OK:  OK;base_or_parameter;True;0.0;0.0;0.0; ;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cDcBoxType;<built-in method title of str object at 0x000002D8DA7A3870>;Gehäuseart:Schaltschrank:NS Schaltanlage:MS Schaltanlage;base_or_parameter;True;0.0;0;0.0; ;powerfactory;int;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cDisplayName;<built-in method title of str object at 0x000002D8DA7D5DB0>;Anzeigename;base_or_parameter;True;Bus 1;'Bus 1';; ;powerfactory;str;helper_filtered;attr_name_matches_helper_pattern
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cElectrodes;<built-in method title of str object at 0x000002D8DA7CDE80>;Elektrodenanordnung;base_or_parameter;True;['Vertikal in Freiluft'];['Vertikal in Freiluft'];; ;powerfactory;list;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cIntInStat;<built-in method title of str object at 0x000002D8DA7CDED0>;Hilfsknoten in Schaltanlage;base_or_parameter;True;0.0;0;0.0; ;powerfactory;int;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cLocAccTime;<built-in method title of str object at 0x000002D8DA75D430>;Zugangszeiten für Schalter: Nach Schalthandlung an anderer Sammelschiene;base_or_parameter;True;0.0;0.0;0.0;min;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cPosLne;<built-in method title of str object at 0x000002D8DA7CDF20>;Nennspannung: Ort auf Leitung;base_or_parameter;True;0.0;0.0;0.0;km;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cStatName;<built-in method title of str object at 0x000002D8DA7D6270>;Anlage/Name;base_or_parameter;True;Bus 1;'Bus 1';; ;powerfactory;str;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cUserDefIndex;<built-in method title of str object at 0x000002D8DA7CDF70>;Benutzerdefinierter Index;base_or_parameter;True;0.0;0;0.0; ;powerfactory;int;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cWorkDist;<built-in method title of str object at 0x000002D8DA7D6470>;Arbeitsabstand;base_or_parameter;True;0.0;0.0;0.0;mm;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cXfactor;<built-in method title of str object at 0x000002D8DA7CDFC0>;Transmissionsfaktor;base_or_parameter;True;0.0;0.0;0.0; ;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;carcLength;<built-in method title of str object at 0x000002D8DA7996B0>;Lichtbogenlänge;base_or_parameter;True;0.0;0.0;0.0;mm;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;charact;<built-in method title of str object at 0x000002D8DA7D6730>;Charakt.;base_or_parameter;True;[];[];; ;powerfactory;list;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;chr_name;<built-in method title of str object at 0x000002D8DA7D6830>;KKS-Name;base_or_parameter;True;;'';; ;powerfactory;str;helper_filtered;attr_name_matches_helper_pattern
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;ciBusbarCon;<built-in method title of str object at 0x000002D8DA7CE010>;Verbindungsstatus;base_or_parameter;True;-2.0;-2;-2.0; ;powerfactory;int;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;ciDist;<built-in method title of str object at 0x000002D8DA799710>;Entfernung von Einspeisung in Anzahl Knoten;base_or_parameter;True;0.0;0;0.0; ;powerfactory;int;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;ciDistAll;<built-in method title of str object at 0x000002D8DA7D1D80>;Entfernung von Einspeisung in Anzahl Knoten (mit Schaltern);base_or_parameter;True;0.0;0;0.0; ;powerfactory;int;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;ciDistAllRoot;<built-in method title of str object at 0x000002D8DA72FCB0>;Entfernung von erster Einspeisung in Anzahl Knoten (mit Schaltern);base_or_parameter;True;0.0;0;0.0; ;powerfactory;int;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;ciDistRoot;<built-in method title of str object at 0x000002D8DA7D1E60>;Entfernung von erster Einspeisung in Anzahl Knoten;base_or_parameter;True;0.0;0;0.0; ;powerfactory;int;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;ciEarthed;<built-in method title of str object at 0x000002D8DA7D6CF0>;geerdet;base_or_parameter;True;0.0;0;0.0; ;powerfactory;int;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;ciEnergized;<built-in method title of str object at 0x000002D8DA7D6DF0>;versorgt;base_or_parameter;True;1.0;1;1.0; ;powerfactory;int;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;ciLater;<built-in method title of str object at 0x000002D8DA7D6EF0>;Lateralindex;base_or_parameter;True;0.0;0;0.0; ;powerfactory;int;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;ciOutaged;<built-in method title of str object at 0x000002D8DA7CE060>;Geplanter Ausfall;base_or_parameter;True;0.0;0;0.0; ;powerfactory;int;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cimRdfId;<built-in method title of str object at 0x000002D8DA7D70B0>;RDF ID;base_or_parameter;True;[];[];; ;powerfactory;list;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cnFactor;<built-in method title of str object at 0x000002D8DA7CE0B0>;Statistische Korrektur;base_or_parameter;True;3.0;3.0;3.0; ;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;commissionDate;<built-in method title of str object at 0x000002D8DA7CE150>;Inbetriebnahme am;base_or_parameter;True;1970-01-01T00:00:00Z;'1970-01-01T00:00:00Z';; ;powerfactory;str;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;constr;<built-in method title of str object at 0x000002D8DA7D72F0>;Baujahr;base_or_parameter;True;0.0;0;0.0; ;powerfactory;int;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cpArea;<built-in method title of str object at 0x000002D8DA7D7430>;Gebiet;base_or_parameter;False;;;;ElmArea;powerfactory;;helper_filtered;attr_name_matches_helper_pattern
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cpBay;<built-in method title of str object at 0x000002D8DA7D23A0>;Gerätedaten: Schaltfeld;base_or_parameter;False;;;;ElmBay;powerfactory;;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cpBranch;<built-in method title of str object at 0x000002D8DA7D7570>;Zweig;base_or_parameter;False;;;;ElmBranch;powerfactory;;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cpBusbar;<built-in method title of str object at 0x000002D8DA7D7630>;Sammelschiene;base_or_parameter;False;;;;ElmTerm;powerfactory;;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cpFeed;<built-in method title of str object at 0x000002D8DA7D76F0>;Abgang;base_or_parameter;False;;;;ElmFeeder;powerfactory;;helper_filtered;attr_name_matches_helper_pattern
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;cpGrid;<built-in method title of str object at 0x000002D8DA7D7770>;Netz;base_or_parameter;True;<l3>\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet</l3>;<powerfactory.DataObject <l1>\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet</l1>>;;ElmNet;powerfactory;DataObject;helper_filtered;attr_name_matches_helper_pattern
